アーヘン	아헨
性分	성분
マルヴィ	말비
くら	쿠라
ヌーヴェル	누벨
ヴァーグ	버그
焼き肉	구운 고기
カルカレ	칼카레
チェーヴァ	체바
アドルノ	아돌노
モンテフォルテ・イルピーノ	몬테포르테 일피노
ダミアーノ	다미아노
宗清	종칭
タペストリー	태피스트리
晃弘	아키히로
ヘキソキナーゼ	헥소키나아제
ペレヤスラヴリ・ザレスキー	페레야슬라블 자레스키
フォッジャ	포자
守信	약속을 지키세요
アラナ	알라나
一人ぼっち	혼자
白状	백색
幌北	호로키타
白楊	포플러
香純	향춘(香春)
スイッ	스위
フルクロキサシリン	풀록사실린
芦辺	아시베
関り	관련
マティア	마티아
ウニヴェルザール	우니베르자르
片刃	한 날
フルテメタモル	풀테메타몰
剖検	부검
デフ	데프
ギヤ	기어
鍼	침술
火箸	불젓가락
八洲	야스
岳父	시아버지
雲蓋	구름 뚜껑
分冊	용량
上梓	上梓
チェルケス	체르케스
名馬	명마
モテ	모테
ヤンコ	양코
ヴェーラ	베라
癒える	치유하다
ココス	코코스
道順	길순
ファリネッリ	파리 넬리
利仁	토시히토
昌家	창자
カタンガ	카탄가
フルオロ	플루오로
徳芳	디팡
ファルファ	팔파
ジークムント	지크문트
城戸	죠도
キューピッド	큐피드
アトリビュート	속성
ライルズ	라일즈
腹ばい	배고프다
アヴィダン	아비단
アラメイン	알라메인
ボリシェビキ	볼리셰비키
六助	로쿠스케
山仕事	산 일
19126	19126
鬼塚	오니즈카
突っ込み	돌진
肩口	어깨
ミニマム	미니엄
主桁	메인 트러스
ング	구
申し出さ	제안
帯津	오오츠
恵美子	에미코
立位	입위
冴子	사코
コロラドスプリングス	콜로라도 스프링스
テダー	테더
地評	토지 검토
軸距	휠베이스
スーツケース	가방
熟慮	숙고
臨津	임진
春川	춘천
徳懐	덕회
特装	특장
戸島	도지마
ウエル	웰
マスカティーン	마스카 십대
ブラーヴァ	브라바
フューレイ	퓨레이
徭役	부역
知県	지 현
追い求める	추구하다
三毛	산마오
スグ	수구
ウルス	우루스
ブカ	부카
やれる	할 수 있는
メタリカ	메탈리카
今際	오늘
エイラ	에이라
繼平	지핑
19916	19916
民地	땅
エッツォ	에조
ダーバン	다반
助け合う	돕는
夢魔	꿈마
スキャンダラス	스캔 달라스
破ろう	깨뜨리자
リジェネロン	리제네론
シュライファー	슈라이퍼
明解	명확한
賢哲	세이지
ビードル	비들
廣江	광장
美之	미유키
セメタリー	세메탈리
重星	헤비 스타
泥舟	머드보트
バランシン	발란신
久我山	쿠가야마
トゥーハーバーズ	투 하버스
ウォッチング	워칭
未納	미납
ハルタ	하르타
ギレム	길렘
皇宮	대전
マルコス	마르코스
思い知らさ	추억
ヒラリー	힐러리
リープ	잎
ルカン	루칸
アベリサウルス	아벨리사우루스
争覇	쟁패
窩	둥지
ラウール	라울
ヴィゼ	비제
コレッリ	콜레리
飲物	음료
石板	슬레이트
ムジナスゲ	무지나스게
与信	여신
ノールズ	노르즈
アッシュル・ダイン・アプル	애쉬르 다인 애플
ドロネ	도로네
プレヴォ	프레보
重犯	재범자
白峰	시라미네
シェイプ	모양
貴陽	구이양
パキゲニス	파키게니스
ケンプ	켐프
ホコリ	먼지
メックス	멕스
かすれ	흐림
アセチルキタサマイシン	아세틸키타사마이신
レプトスピラ	렙토스피라
バソプレシン	바소프레신
クッシング	쿠싱
スプレイ	스프레이
舌下	설하
19124	19124
ビトリナイト	Vitrinite
ナイーブ	나이브
さかい	사카이
頭側	머리쪽
鏡視	거울
ラー油	라 오일
本式	공식
腸詰め	창자 채우기
バダング	결혼
スチャヴァ	스차바
ハイパーピクナイト	하이퍼 피크 나이트
安八	안팔
浦城	푸청
エクバタナ	엑바타나
きみ	너
大振り	큰 흔들림
でれ	쓰레기
ボンクレッ	본크레
1574	1574
メレ	멜레
描き込ま	그리기
日傘	양산
イングルウッド	잉글우드
梨加	리카
ディスペンサー	디스펜서
アルベルティン	알베르틴
シュカプレロフ	슈카프레로프
監守	감수
魚津	우오즈
三つ編み	세 뜨개질
スフマート	스푸마트
ラ・グランハ	라 그란하
私家	사적인
名機	명기
オフェル	오펠
ヴロジミール	브로지미르
イリス	이리스
ボルソディ	볼소디
宝剣	보검
誓わ	맹세하다
勱	운동
貞彦	사다히코
ニワトリ	닭
雞	닭
軸索	축삭
もくろむ	모쿠로무
ポンコツ	폰코츠
ティーフスタック	티프 스택
ブラーバ	브라바
サンギータ・ラトゥナーカラ	산기타 라투나카라
アウェアネス	착용감
アヴォーラ	아보라
カッシービレ	카시빌레
シラクーザ	시라쿠자
モーディカ	모디카
メクレンブルク	메클렌부르크
中体	중체
清見	키요미
水嶋	미즈시마
競歩	경보
氷入り	얼음
コンスタブル	콘스타블
グッゲンハイム	구겐하임
ゴック・チン	고크 친
カルバゾクロム	카르바조 크롬
然り	자연스럽게
念じる	염려하다
秀政	히데마사
喨	투명한
前傾	전경
ロッキング	잠금
支点	지점
オーバーハング	오버행
アーティチョーク	아티초크
カヤ	카야
山茶花	카멜리아
椿油	동백 기름
黒光	검은빛
文才	문재
スターソフ	스타소프
クワトロ	콰트로
脛骨	경골
もやもや	모야모야
廻航	반품
ウフツィ	우후치
ネオナチ	네오나치
イフワーン	이프완
教坊	교방
つば	츠바
はめる	끼다
叫ば	외치다
コンコルド	콩코드
目の敵	눈의 적
犯さ	범죄
ミルザ	미르자
ズィ	Zi
廟堂	절
16127	16127
アウ	아우
攻め込ま	공격
ティルト	틸트
セルヒオ	세르히오
マリタイム	말리타임
エッカート	에카트
ひんやり	시원한
フリウーリ	프리울리
妹婿	매형
輯	편집하다
敷衍	형식적인
サムゲタン	삼계탕
ケジャングク	케장국
ワケギ	악기
犬種	견종
ヌロンイ	누롱이
レトリバー	리트리버
首吊り	목걸이
上り坂	오르막
渾名	범명
テリトリアル・デジグネイション	테리토리얼 디지그네이션
汚泥	슬러지
透谷	두구
遊星	유성
かごしま	카고시마
ミリヤ	미리야
ノヴォデヴィチ	노보데비치
ハウク	하우크
バードン	버든
バルトロメオ	발트로메오
ベレッチ	베레치
事細か	사세
賴言	라이얀
砂子	모래
新宿町	신주쿠초
久根	쿠네
フェヒナー	페히너
インベントリ	인벤토리
モンシロ	몬시로
樹冠	나무 캐노피
頂く	받다
ぽつ	푹신
御曹司	오조지
ダウディング	다우딩
取り持っ	잡다
プッサン	부산
東美濃	히가시 미노
マジュロ	마주로
雲間	구름
トルナブオーニ	토르나부오니
とこ	토코
国字	한자
馬歩	말보
サラフィー	살라피
諭吉	사키요시
松三郎	마츠사부로
大戸	오토
米価	미가
キャー	캐
アーネ	아네
残丘	잔구
佐那河内	사나가와치
エルディング	엘딩
ハサウェイ	해서웨이
ハビリテーション	하빌리테이션
エンタテイメント	엔터테인먼트
ビト	비트
ヘキソース	헥소스
デオキシアルドヘキソース	데옥시알드헥소스
詩篇	시편
アンブロージョ	암브로조
カルルッチョズ	칼루초스
ハーシュ	허쉬
ダニング	다닝
配球	배구
王府	왕푸
地べた	땅
コピ	코피
ビヤ	비야
ランバイエケ	란바이에케
朝青龍	아침청룡
栃東	도토
セプテンバー	셉텐 바
猟場	사냥터
アマルフィ	아말피
浙西	서부 저장
ニーデルンハウゼン	니델른하우젠
エンゲンハーナー・タール	엔겐하너 타르
ニーダーヨスバッハ	니더 요스바흐
オクリフテル	오클리프텔
見応え	보기
レンツハーナー・ヴェーク	렌츠하너 베크
ゼールバッハー・グルント	제르바흐 그룬트
ダスバッハ	다스바흐
19639	19639
アウタールハレ	아우탈 할레
スカッシュ	스쿼시
ラジーヴ	라지브
トリート	트리트
瓜二つ	瓜二
ジョアッキーノ	조아키노
耙	갈퀴
軟条	소프트 스트립
かもす	갈매기
土人	토인
サクセス	성공
切り株	그루터기
ペンチ	펜치
ザカリア	자카리아
マナグア	마나과
拡声	확성
標定	구경 측정
パルメンホフ	팔멘호프
書名	제목
銀熊	실버 베어
マニサ	마니사
アーチェリー	양궁
武后	우 황후
明大	명대
タダノ	타다노
泳動	영동
フォーブズ	포브스
眼圧	안압
原薬	원약
ヤマツツジ	야마쯔쯔지
ケルントナー	쾰른 토너
トーア	토어
フィリバスター	필리버스터
みゆき	미유키
藤島	후지시마
武二	우지
悲しく	슬프게
刺そう	찌르다
ウエハース	웨이퍼
アガニョーク	아가뇨크
ネーションズ	네이션스
スナボー	스나보
マルグレーテ	마르그라테
イェータ	예타
穴太	구멍
アルフィオ	알피오
懐胎	회태
切羽	날개
ラス・アノド	라스 아노도
かずお	카즈오
薄皮	박피
南泉	남취안
弘忍	히로시노
県側	현측
ヒルデ	힐데
メリケン	메리켄
オーベルフーバー	오벨 후버
紙質	종이
偏屈	편굴
グレープ	포도
親朝	부모 아침
大河津	오가와
シー・エーホールディングス	씨 에이 홀딩스
アイントプフ	아인토푸프
二瓶	두 병
小峠	고개
有り難い	고맙다
キャロライン	캐롤라인
スンジュ	순주
大秦	다친
湧き出	솟아오르다
真輔	마스케
平気	평기
尊び	존중
ラベリング	라벨링
剝奪	박탈
牛耳ら	소귀 등
プロスクロプティオ	프로스크롭티오
ミセヌム	미세눔
ブルートゥス	블루투스
アグリッパ	아그리파
コントラポスト	콘트라 포스트
ウィンクラー	윈클러
かう	카우
景義	징이
悪石	악석
にぎやか	활기찬
むりやり	무리
オデアルド	오데알도
ウルワツタイガー	울루와투 호랑이
蒸着	증착
ダスター	더스터
横羽	요코바
渡田	와타다
彦三郎	히코 사부로
竹崎	다케자키
名木	유명한 나무들
俊三	슌삼
ネヴァービート	네버 비트
農楽	농락
5121	5121
ニュルティンゲン	뉘르팅겐
トゥトリンゲン	투트링겐
クモンガ	쿠몬가
キラアク	키라악
ギドラ	기드라
むさし	무사시
原潜	원잠
ポストドクトラル	포스트 닥터럴
フォア	포어
スヘルフハウト	스헬프하우트
イジョイド	이조이드
ドゴン	도곤
ケンホウ	켄호우
ダイワ	다이와
フェティエ	페티예
ウズン・ハサン	우즌 하산
カラゴズ・メフメド	카라고스 메흐메드
ヘルセクザーデ・アーメド・パシャ	헤르세크사데 아메드 파샤
チトセホープ	치토세 호프
大眼	큰 눈
征戦	정복
オオシマ	오오시마
東近江	히가시오미
チカラ	치카라
寝転ん	수면
フェイト	페이트
ウラノス	울라노스
アダプター	어댑터
びら	비라
撃とう	쏘다
がわり	주름
物狂い	미친
崇嗣	다카시
鋳貨	주화
買い集め	매입
西下	서쪽
回次	타임스
郡兵衛	군무위
ブレイニー	브레이니
ディストリビューター	유통업체
リンケージ	링키지
ヴィシュラヴァス	비슈라바스
メンミュア	멘뮤아
デッティンゲン	데팅겐
ざらつく	거친
梃子	梃子
学文	학습
部衆	부족
旧地	올드 플레이스
築窯	가마 건물
先後	처음이자 마지막
無段	무단
付設	부설
コンスタンチノフカ	콘스탄티노프카
販促	판촉
プルミエール	프리미에르
頑張り	열심히
タガ	타가
オーデルスバッハ	오델스바흐
193442	193442
ブルガー	불가
ドロンマースハウゼン	드론머스하우젠
褐	갈색
空室	공실
エーレンフェスト	에일렌 페스트
ディヴェルティメント	디버티먼트
ミッチ	미치
リザード	리자드
こけら落とし	고케라 떨어뜨리다
ジョン・クィンシー・アダムズ	존 퀸시 아담스
寿都	쇼우두
澗	개울
僧房	스님의 방
片流れ	편류
ツィム・シャ	짐샤
中抜き	중간 빼기
ホログラム	홀로그램
けいと	케이트
ドネツク	도네츠크
マリウポリ	마리우폴리
スラビャンスク	슬라비안스크
ルハーンシク	루한식
アブハズ	압하즈
マデロン	마데론
手伝わ	도움
ジェルトリュード	젤 트뤼도
1575	1575
フェリビーボート	페리비 보트
縫い合わさ	봉합
シャリオ	샤리오
曦	시
法起	다르마
メーレン	멜렌
カスルバー	카슬버
垓	경계
売り付け	판매
亡	죽음
サッルスティウス	사르스티우스
マンリウス・トルクァトゥス	만리우스 투르쿼투스
楽隊	악대
レシステンシア	레시스텐시아
ボトネン	보트넨
伏し	덮다
ミズナラ	미즈나라
オーブリー	오브리
1317	1317
津宇	진위
怕	두려워하는
2118	2118
伏流	복류
マッコーコデール	맥코코데일
セブノークス	세부 녹스
閤門	문을 닫아요
742	742
礫岩	역암
世清	시칭
ホーキング	호킹
ポリウレタン	폴리우레탄
和行	일본행
1709	1709
若山	와카야마
宗武	종우
陸棲	육거
マトリーヴィス	매트리 비스
小刻み	작은 조각
バルマー	발머
ベルナッキ	베르나키
ウァレリア	와렐리아
ビテュニア	비튜니아
独壇	독단
遭わ	만나다
アグノーメン	아그노멘
ラニウス	라니우스
警句	경구
テッサ	테사
チズ	치즈
ルーニー	루니
分っ	분
噛み跡	씹는 흔적
545	545
洙	수
ラディッシュ	래디쉬
クーメルウェック・ロール	쿠멜 웨크 롤
198112	198112
アララギ	아라라기
舍	버리다
マルキウス・レクス	마르키우스 렉스
シオニズム	시온주의
フロンド	금발
ヘイズ・サルツバーガー	헤이즈 살츠버거
19514	19514
芙	부
豊漁	풍어
五番町	고반초
不及	~만큼 좋지 않다
19898	19898
ブット	부트
トゥアンホア	투안호아
アンクス	앙크스
レクス	렉스
おみつ	기저귀
バーニア	버니어
千金	천 골드
スンジャ	순자
ジャヤワルダナプラ	자야와르다나푸라
オープンリー	오픈 리
ヒルデブラント	힐데브란트
シクロヘキシル	시클로헥실
影山	카게야마
景山	경산
ダリュー	대류
引湯	수프를 유도하다
グロッセート	그로세이트
ルノワール	르누아르
明田	아케다
中肋	중간 갈비뼈
反り返る	뒤집다
561	561
マドゥトゥシビー	마두투시비
札付き	꼬리표 포함
増速	증속
パルラーダ	팔라다
貸本	대본
五十川	이토카와
ジェラルディーン	제랄딘
虚実	허실
テグシガルパ	테구시갈파
ウイリアム	윌리엄
駱之	뤄지
姉婿	시누이
鹿之助	가노스케
舌鋒	혀 싹
振る舞わ	행동
増改築	증개축
立てよう	세우자
アーカート	아카트
伯州	하쿠슈
知力	지력
光之助	미츠노스케
パディーヤ	패디야
竹二	타케지
各紙	각 종이
偶に	우연히
査読	검토
英太郎	히데타로
2220	2220
遺愛	유산
幸五郎	고고로
椋木	椋木
八太郎	야타로
逸る	벗어나다
焼き打ち	구운
居座っ	거 자리
夫方	남편
春成	춘청
部民	사람들
戸主	호주
宮人	궁전의 여인
僧綱	승강
女人	여성
氏輝	우지키
曲舞	음악과 춤
結納	결납
小太刀	小太刀
流転	유전
油谷	유야
逞しく	몹시
鉄漿	철장
隆子	다카코
クロッケー	크로케
となり	되다
方子	레시피
建長	건장
祥	시앙
玉岡	타마오카
イグ	ig
矢状	사지탈
縦線	수직선
レヒテンバッハ	레히텐바흐
ローテンベルク	로텐베르크
199997	199997
実働	실직
メラノサイト	멜라노 사이트
イレーネ	일레네
トゥグリル	투그릴
ムラート	무라토
日之影	히노카게
受傷	부상당한
粉飾	수성 백색 도료
順当	순당
翻刻	재판
ぬるま湯	미지근한 물
サーム	샘
倒そう	쓰러뜨리자
涇州	징저우
はばかっ	하바카
攻め落とす	공격하고 떨어뜨리다
武宣	우쉬안
シャベル	삽
リュウソウジャー	류소우저
平松	히라마츠
アルプ	알프
プロークス	프록스
コラムニスト	칼럼니스트
パンサー	팬더
ビューヒオルト	뷰히오르트
ラウデンバッハ	라우덴바흐
アルン	아룬
ガンツ	간츠
産直	생산
ディスクリート	이산
テヴィンター	테빈터
ゲレオン・アレクシウス	겔레온 알렉시우스
有袋	가방 포함
フィールドワーク	필드워크
ヴェルンタール	베른탈
アウグステ	아우구스테
パンニング	패닝
寒波	한파
541	541
ベチュヴァーシュ	베추바쉬
甲佐	고사
たすき掛け	타스키
所狭し	좁은
リスペクト	존경
アクロポリテス	아크로폴리테스
灌木	관목
18181	18181
ファース	퍼스
メッサッラ・ルフス	메사라 루프스
スカウルス	스카우루스
アヌシュカ・シェッティ	아누슈카 셰티
ナヤン	나얀
アーンドラ	안도라
プラデーシュ	프라데시
フリーザー	냉동고
冷やかし	차가운
潔癖	결막염공포증
療治	치료
ラーグス	라그스
スパム	스팸
たしなん	뭐야
マタニティーフォト・ベビーフォト	출산 사진과 아기 사진
おもむき	오모무키
ノーン	논
1255	1255
団塊	덩어리
サリム	살림
見抜か	간과하다
パラゴンシネプレックス	파라곤 시네플렉스
万延	만연
モゴショアヤ	모고쇼아야
築上	축상
産土	산토
ダッグ・アウト	더그 아웃
クリエーター	제작자
19945	19945
サビヌス	사비누스
道営	도영
ローゼンボリ	로젠볼리
秋子	아키코
智恵子	토모 케이코
笠井	카사이
ドノア・テラス	도노아 테라스
アーレス	아레스
家盛	지아쉔
義方	의방
ずんぐり	장난감
モンザーマー	몬저머
トゥーレ	투레
キャスリン	캐슬린
割り振り	할당
僭主	폭군
緘	緘
スヴィーテン	수비텐
ラムジュン	람준
世阿弥	세아야
愛顧	애고
ウミグモ	우미 거미
担	짐
西浜	니시하마
ラウス	라우스
エロイ	엘로이
ホッ	허
ムイサシマツ	무이사시마츠
馬王	말의 왕
ストラット	스트럿
ヴァイセンヴォルフ	바이센 볼프
ブロツキー	브로츠키
瀬戸口	세토구치
ヌクレオチド	뉴클레오티드
イーリー	이리
コルター	콜터
瓚	잔
スコパ	스코파
チェチーリア	체칠리아
ガルツィオ	가르치오
つかま	쓰카마
産まれる	태어난
覆土	피복
野郎	노로
長兵衛	장병위
スピリチュエル	영혼
進呈	증정
ジヤン	지양
不乱	엉망진창이 없다
便座	변기
ヴェントリー	벤틀리
クリプキ	크립키
よき	요키
結紮	결찰
氣功	기공
瑩山	영산(靈山)
紹瑾	샤오 진
ビレル	빌렐
ホーソーン	호손
忌寸	피하다
クシャトリヤ	쿠샤토리아
愛くるしい	사랑스럽다
光良	광량
美事	아름다운 것들
擧げ	쑥
とりこ	토리코
オケルブラッド	오켈 블러드
イバラ	가발
時茂	시마오
景貫	가게츠키
ハナーノ	하나노
フィラー	필러
国師	국사
ナディーン	나딘
飛砂	날아다니는 모래
施業	시업
19346	19346
島流し	섬 싱크
ドープ	도프
鳴秋	명추
乱打	난타
日国	일국
蕅益	후이이
削り残さ	긁힘
赤池	아카이케
ビーハン	비한
外陰	외음부
カマウ	카마우
6936	6936
各位	모든 사람
臻	진
抽	연기
召し使い	부름
コスメ	화장품
パクト	팩트
契り	계약
届け物	신고
まつ毛	속눈썹
忍び込ん	혼잡하다
サンチョ	산초
アントニア	안토니아
賊兵	산적
毖	조심하세요
立宗	리 종
ルシュ	루시
ドルフース	돌후스
金平	진핑
福竜	복룡
19647	19647
リッチモンドヒル	리치몬드 힐
衝立	충돌
変じ	변신
モーパーゴ	모파고
ハビランド	하빌랜드
キロヘルツ	킬로헤르츠
右下がり	오른쪽 아래로
悪路	악로
チェディントン	체딩턴
押入り	밀어넣기
予行	예행
バーリー	벌리
フュートレル	퓨트렐
ワンズ	완즈
在監	감옥에서
ハッセ	하세
ハザ	하자
カンタス	콴타스
ブリュン	브뤼
アーモン	아몬
ウィクラマナカ	위클라마나카
太清	태청
富士河口湖	후지카와구치코
小淵沢町	고부치자와초
鶻	매
白服	흰옷
陀部	투오부
会盟	동맹
グート	구트
ヤルカンド	야르칸드
臨安	린안
タルバガタイ	탈바가타이
ムサ	무사
粛	미분류
サリグ・ウイグル	살리그 위구르
督軍	장군
仲英	중영
ラビア・カーディル	라비아 카딜
川之江	가와노에
ウツ	우츠
23331	23331
拐取	외 전
歪める	왜곡하다
気取っ	짜증
舜水	순수이
ディベヒ	디베히
久留	지우리
ドント	돈토
キロメートル毎時	킬로미터 시간당
八郎兵衛	하치로 헤에
設けれ	제공
アノド	아노드
余市	요이치
ジビュレ	지뷰레
ヨネカス	요네카스
土用	토용
女衆	여성
マツリ	마츠리
フォトグラム	포토그램
2011117	2011117
表われ	표현
オドオド	오도오도
ナチェズ	나체스
エチオダイズド	에티오다이즈드
秦檜	친후이
完顔	완벽한 얼굴
弱り	약함
レヴィン	레빈
匡胤	광인(光寅)
熙宗	희종
1138	1138
叔姪	삼촌과 조카
逃げ場	탈출장
西河	시허
プレシアダピス	프레시아 다피스
グリュンワルド	그뤼왈드
勤め上げ	근무
マッケンゼン	맥켄젠
座り心地	착용감
離席	떠나다
雇い止め	고용 정지
シャルロッテ・スロッツベリ	샤를로테 슬로츠베리
カルキン	칼킨
ネアムツ	네암츠
ヴァナキュラー	바나큘러
ドゥンボヴィツァ	돈보비차
フィリス	필리스
ラワード	라워드
オグルガイミシュ	오구르 가이미슈
シレムン	실렘
クティ	쿠티
両断	양단
ジュヴァイニー	주바이니
正和	정화
斉民	사케민
覚王	왕
止み	멈추다
村外	마을 밖에서
上州	상주
呼び止め	호칭
シーケンシャル	순차
をる	하다
千太郎	치타로
オートン	오톤
ヘイデン	헤이든
スコフィールド	스코필드
ジオウ	지오
ビルジ	빌지
外車	외차
能美	노미
隠滅	숨겨진
コフィ	코피
龍村	드래곤 빌리지
平藏	하이조
ブリュイヤス	브루이야스
レカロ	레카로
轟木	토도로키
暁明	효명
謝肉	사육
気息	숨
頻拍	빈박
エリエゼール	엘리에제르
峨山	에샨
エンゲマン	엔게만
ホーゲ	호게
コルツフライシュ	코르츠프라이슈
ワルプルギス	바르푸르기스
まつげ	속눈썹
リベーラガーデンマリナタワー	리베라 가든 마리나 타워
聡美	사토미
筒粥	죽
御手洗	화장실
ウェレガ	웨레가
ロモ	로모
おどり	오도리
カミヤマシダレザクラ	카미야 마시다 레자쿠라
はぎ取ら	박쥐
岡谷	오카야
岩原	이와하라
膏	반죽
ビゲン	비겐
エロス	에로스
ヴァッラレッソ	발라 레소
スルピキウス	설피키우스
プロテオ	프로테오
鳥飼	토리
匡輔	輔輔
オラフ	올라프
コディントン	코딩턴
静枝	조용한
飲もう	마시자
署内	사무실에서
水守	워터 가드
ハチロー	하치로
公季	공계
実基	실기
章澄	章澄
真柴	마시바
はね返る	튀는
倒れ込ん	쓰러지다
岱	다이
カブール	카불
清田	기요다
揮毫	글쓰기
灯さ	빛
トンド	톤도
﨑	﨑
息づい	숨
導管	카테터
プロケシュ	프로케시
追い込もう	몰아넣자
ウスチノフ	우스티노프
1591	1591
励行	격려
信太	신타
インフォメーション	정보
防球	방구
浮彫	돋을새김
想	생각하다
東松浦	히가시마츠우라
乘	가져가다
着床	착상
防げる	예방하다
19917	19917
キンバリー	킴벌리
豚カツ	돼지 커틀릿
うらやむ	부러워하다
酔いしれ	술취한
リーズナブル	합리적인
方剤	처방전
ファイナンス	금융
ゴアヴォイ	고아 보이
ブレン	블렌
スファキア	수파키아
本義	원래 의미
ベンディアン	벤디안
マッケナ・グレイス	맥케나 그레이스
キャロリン	캐롤린
レイチェル	레이첼
搦	붙잡다
19954	19954
ハクチョウ	하쿠초
ウズラ	메추라기
ソフキノ	소프키노
流れ出す	흐르는
見入っ	봐
テセウス	테세우스
1563	1563
竪坑	수직 구덩이
射す	쏘다
小曾木	오소키
ヴィッカース	비커스
ホイットワースアルベマール	휘트워스 알베마르
潜り抜け	잠수함
シュタンゲンベルク	슈탄겐베르크
80	80
足下	발밑
エリオン	엘리온
胸膜	늑막
捻じれ	비틀림
ナガ	나가
キャロライナ・リーパー	캐롤라이나 리퍼
デボン	데본
ドルー	돌루
押本	오시모토
逆側	뒷면
置こう	두자.
レブン	레븐
グレネード	수류탄
ダンフォース	댄포스
寺門	데라몬
バルバラ	바르바라
サンセヴェリーノ	산세벨리노
小木曽	코기 소
エイブ	에이브
ゲルツ	겔츠
米太郎	미타로
根負け	뿌리
リエノテソーロ	리에노테솔로
鳴神	나루진
ゲートキーパー	게이트 키퍼
ウゴル	우골
チェタテア・アルバ	체타테아 아루바
ベグ	베그
ケルマン	켈만
カライ	카라이
ガビアル	가비알
トミストマ	토미스토마
主上	주님
ヴェルト	벨트
凝り性	응집성
メクラ	메크라
晩婚	만혼
和士	일본사
ボツワナ	보츠와나
スパイダー	거미
炭礦	탄광
フィンドレイター	핀드 레이터
191119	191119
モロトフ	모로토프
汗水	땀
インテリゲンツァ	인텔리겐차
ゴーリキー	골리키
ナンセン	난센
ウィッテイカー	위테이커
アルバートパーカーニブラック	알버트 파카니 블랙
金川	진촨
扇端	팬 끝
禘礼	희생의식
フォリドサウルス	포리도 사우루스
里人	마을 사람
エヴォーラ	에보라
カルデロン	칼데론
クァウトラ	쿠우트라
あづま	아즈마
ホイッスル	휘슬
佛教	불교
理緒	리오
寅太郎	토라타로
白袴	白袴
ロジータ	로지타
リヒテンブルク	리히텐부르크
リロケーション	재배치
クウェドリンブルク	쿠웨이들린부르크
デサント	데산트
スクリーム	스크림
ディ・ボナヴェンチュラ	디 보나벤츄라
オーシ	오시
水責め	물 비난
きさらぎ	키사라기
マクフィー	맥피
エルボー	엘보
ミストラル	미스트랄
アンフィンセン	암핀센
フォレス	포레스
ステディ	스테디
取り口	취구
カロテノイド	카로티노이드
アスタキサンチン	아스타크산틴
カンタ	칸타
キサンチン	크산틴
エッシェー	에셰
衍王	얀 왕
下並木	시모나미
礼央	레이요
虎斑	태비
張り子	張子
番人	번인
濫伐	삼림 벌채
蒔田	카마타
沸い	끓는
肺病	폐질환
パチーノ	파치노
吉三郎	요시사부로
ツェリノグラード	체리노그라드
ベギアス	베기아스
りんか	린카
多島	타지마
家忠	이에타다
デスティネーション	목적지
ブラガ	브라가
マイクロメートル	마이크로미터
マロル	말롤
タンタン	탄탄
貞光	정광
ギャザーズ	개더스
稍	조금
キタノカチドキ	키타노카치도키
タニ	타니
空っぽ	빈
フィールダー	필더
なだれ込ん	나다레
五十公野	오십 공야
サヌア	사누아
夜刀	나이트 소드
オタゴ	오타고
ヘンゼル	헨젤
葉先	잎끝
グレノリス	그레놀리스
ムート	무트
フザール	후자르
クトゥーゾフ	크투조프
ジューコフ	주코프
メダリオン	메달리온
ベーメン	베이멘
クニグンデ	쿠니군데
アッツォ	아조
1624	1624
ブエルタ	부에르타
縫い止め	꿰매다
アセノスフェア	아세노스페어
エルニーニョ	엘니뇨
ラニーニャ	라니냐
イレイテ	일레이테
ドードー	도도
リンディスファーン	린디스판
イトラコナゾール	이트라코나졸
パラコクシジオイデス	파라콕시디오이데스
リヒテル	리히텔
レトリック	레트릭
白鯨	흰 고래
つぶし	부수다
ふけり	비듬
欧洲	유럽
グンダ	군다
サモスチェルニク	사모스 체르니크
アリオバルザネス	아리오 발자네스
竹浪	대나무 파도
トレカ	트레카
トコ	토코
豆田町	두다초
三郎右衛門	사부로 우에몬
まかさ	마카사
ネッカーシュタイナッハ	네커 슈타이나흐
エル・アル	엘 알
アネ	아네
オウルダム	오울담
セポイ	세포이
サダル	사달
エティエネット	에티에네트
ヘラクリウス	헤라클리우스
くれれ	줘
桐朋	桐朋
フェイム	얼굴
杁	말뚝
正明	정명
院展	원전
グナエウス・オクタウィウス	그나에우스 옥타위우스
ポルトフィーノ	포르토피노
ノオ	노오
導	가이드
逆茂木	역모목
ヴァルドルフ	발도르프
縮絨	수축
シュタインフィッシュバッハ	슈타인 피쉬바흐
フェルティウス	펠티우스
アムト	암토
ホーエンフェルト	호엔펠트
ゴルデナー・グルント	골데너 그룬트
カムベルク	캠베르크
ウンタートーアトゥルム	운터 토아 투룸
ようち	요치
リュッツォ	류조
義憲	의헌
稲村	이나무라
ジェレマイ	제레마이
キューズモール	큐즈 몰
養賢	재능을 키우다
ルイザ	루이자
小間使い	부스 사용
ダルマパーラ	달마 파라
一斎	일사이
用役	용역
心証	심증
蒼	창
下問	다음 질문
ヴァーズ	버즈
謙一	켄이치
ノベルス	노벨스
よそおっ	요오오
バーツ	바트
アルボルド	알보르드
カナネア	카나네아
日蔵	히조
歩き回り	걷다
部将	일반적인
陀	투오
松門	송멘
捍	지키다
鎮洙	진수
竹野内	다케노우치
美穂	미호
省吾	성고
埴	埴
台石	대석
リヤーフ	리어프
沖仲仕	총 중시
引き回す	돌리다
はい出し	예
マジュレス	마주레스
泰久	야스히사
阿麻和利	아마 와리
ソラヌス	소라누스
